po_id,month,supplier_id,material_id,ordered_qty,unit_price,currency,promised_lead_time_days,actual_lead_time_days,delivered_on_time,quality_incident,synthetic_flag
PO00252,2026-12,S020,M007,36,76.203,CNY,38,42,0,0,True
PO00253,2026-01,S024,M008,2651,3345.8185,JPY,56,59,0,0,True
PO00254,2026-01,S022,M008,1701,30881.1723,KRW,20,19,1,0,True
PO00255,2026-01,S023,M008,885,22.9133,EUR,34,31,1,0,True
PO00256,2026-02,S024,M008,2750,3209.9384,JPY,56,64,0,0,True
PO00257,2026-02,S022,M008,1791,29755.3561,KRW,20,20,1,0,True
PO00258,2026-02,S023,M008,943,21.5446,EUR,34,36,0,0,True
PO00259,2026-03,S024,M008,2743,2991.0488,JPY,56,44,1,0,True
PO00260,2026-03,S022,M008,1681,30507.2471,KRW,20,20,1,0,True
PO00261,2026-03,S023,M008,946,22.3498,EUR,34,36,0,0,True
PO00262,2026-04,S024,M008,2915,3112.4598,JPY,56,51,1,0,True
PO00263,2026-04,S022,M008,1731,30084.1753,KRW,20,22,0,0,True
PO00264,2026-04,S023,M008,986,22.4993,EUR,34,34,1,0,True
PO00265,2026-05,S024,M008,2807,3143.0052,JPY,56,63,0,0,True
PO00266,2026-05,S022,M008,1642,30135.9955,KRW,20,17,1,0,True
PO00267,2026-05,S023,M008,893,21.8303,EUR,34,34,1,0,True
PO00268,2026-06,S024,M008,2884,3244.6895,JPY,56,64,0,0,True
PO00269,2026-06,S022,M008,1650,30170.7985,KRW,20,22,0,0,True
PO00270,2026-06,S023,M008,904,23.0718,EUR,34,37,0,0,True
PO00271,2026-07,S024,M008,2728,3128.3782,JPY,56,57,1,1,True
PO00272,2026-07,S022,M008,1634,30449.2557,KRW,20,23,0,0,True
PO00273,2026-07,S023,M008,949,22.0194,EUR,34,37,0,0,True
PO00274,2026-08,S024,M008,2955,3090.5496,JPY,56,56,1,0,True
PO00275,2026-08,S022,M008,1717,30891.4389,KRW,20,14,1,0,True
PO00276,2026-08,S023,M008,935,21.9061,EUR,34,29,1,0,True
PO00277,2026-09,S024,M008,2674,3280.968,JPY,56,56,1,0,True
PO00278,2026-09,S022,M008,1624,30773.988,KRW,20,16,1,0,True
PO00279,2026-09,S023,M008,852,22.8307,EUR,34,42,0,0,True
PO00280,2026-10,S024,M008,2561,3262.0134,JPY,56,66,0,0,True
PO00281,2026-10,S022,M008,1532,31573.0343,KRW,20,17,1,0,True
PO00282,2026-10,S023,M008,850,22.4561,EUR,34,28,1,0,True
PO00283,2026-11,S024,M008,2690,3316.6716,JPY,56,59,0,0,True
PO00284,2026-11,S022,M008,1709,30086.4232,KRW,20,19,1,0,True
PO00285,2026-11,S023,M008,936,23.1514,EUR,34,37,0,1,True
PO00286,2026-12,S024,M008,2764,3243.6554,JPY,56,56,1,0,True
PO00287,2026-12,S022,M008,1594,29096.3429,KRW,20,23,0,0,True
PO00288,2026-12,S023,M008,915,23.3751,EUR,34,31,1,0,True
