simulation,strategy,annual_cost_cny,avg_material_shortage_rate,max_material_shortage_rate,any_material_shortage,cost_weighted_risk
64,Balanced,185143631.00231233,0.0,0.0,0,34.36124846096618
64,Resilience,188951870.14656177,0.0,0.0,0,30.684578040529182
65,Lowest Cost,157778222.00504106,0.0,0.0,0,38.26353891590334
65,Balanced,159647161.85071594,0.01144386177098601,0.09155089416788809,1,35.839410237343316
65,Resilience,165644688.45790014,0.018310178833577592,0.14648143066862074,1,30.442030392803343
66,Lowest Cost,151655137.43460178,0.0,0.0,0,37.758558443437664
66,Balanced,153066775.4232024,0.014851186553579365,0.11880949242863492,1,35.88000934253019
66,Resilience,158427866.72285682,0.02376189848572699,0.19009518788581592,1,30.444025703678772
67,Lowest Cost,169242770.5897736,0.0,0.0,0,36.94149755086973
67,Balanced,170948503.7832539,0.0,0.0,0,35.751962091237786
67,Resilience,178314957.36269292,0.0,0.0,0,30.437417303349307
68,Lowest Cost,193470486.70515823,0.0,0.0,0,38.76382898245477
68,Balanced,195034530.92794222,0.0,0.0,0,35.199314474564666
68,Resilience,199128065.75276393,0.0,0.0,0,30.669584744925324
69,Lowest Cost,189947669.65668222,0.08388670617721075,0.5142561024374097,1,38.27092581882228
69,Balanced,191638155.50016338,0.08862277446710988,0.5335049093250832,1,36.120367996236986
69,Resilience,198551885.70263228,0.08844594821486747,0.42680392746006646,1,30.443004951372398
70,Lowest Cost,199152218.79724866,0.006062033901645308,0.04849627121316247,1,38.097034124835055
70,Balanced,200295840.38415286,0.012904624605999726,0.10323699684799781,1,36.2015509891271
70,Resilience,207591824.6232676,0.020647399369599584,0.16517919495679667,1,30.486398301372603
71,Lowest Cost,166919293.4522058,0.0,0.0,0,37.928652635525616
71,Balanced,168463123.30680737,0.0,0.0,0,36.05165624731723
71,Resilience,174547751.25245297,0.03271760353378078,0.26174082827024625,1,30.5012664536699
72,Lowest Cost,174529550.75505266,0.0,0.0,0,38.20653632497963
72,Balanced,175786578.28476244,0.0,0.0,0,35.91688320295058
72,Resilience,182252218.36764237,0.0,0.0,0,30.442558586391797
73,Lowest Cost,178040966.05827615,0.03165034503267043,0.1833557930325641,1,38.33939254177697
73,Balanced,179431251.9603104,0.06429077279496334,0.5143261823597067,1,35.819604884894005
73,Resilience,186486817.3865484,0.05143261823597066,0.4114609458877653,1,30.440331269269397
74,Lowest Cost,180548954.35827705,0.05724463069993592,0.4072438565655221,1,38.91713837846673
74,Balanced,183088981.6250299,0.09430465291098844,0.3986718051949323,1,34.398627257148135
74,Resilience,187121990.5056125,0.0510374744034985,0.21855823891173454,1,30.682208867633285
75,Lowest Cost,171863166.266428,0.0,0.0,0,38.76154440838881
75,Balanced,173672925.70873183,0.0,0.0,0,34.2682484813918
75,Resilience,177077505.3665352,0.0,0.0,0,30.74445274598372
76,Lowest Cost,150540313.89391944,0.0,0.0,0,39.906236880557444
76,Balanced,152769446.51422608,0.0,0.0,0,34.3261918691897
76,Resilience,155919756.66269815,0.0,0.0,0,30.684401075518952
77,Lowest Cost,183453260.57171267,0.04250437291630142,0.3290460737481974,1,36.99907339145503
77,Balanced,185326066.13603485,0.021042062684927948,0.1042966356263727,1,35.81528923319386
77,Resilience,192837447.59584463,0.012807973170610193,0.10246378536488154,1,30.439518878702376
78,Lowest Cost,159122921.0270714,0.07471115393326508,0.5976892314661206,1,38.26481826006844
78,Balanced,160805905.6695035,0.06590382737497773,0.5272306189998218,1,35.87989275896337
78,Resilience,166439237.5418131,0.052723061899982174,0.4217844951998574,1,30.44401958036276
79,Lowest Cost,194836499.00436857,0.05759128621871304,0.4607302897497043,1,37.23588076844571
79,Balanced,195423747.32331538,0.054223024238684206,0.43378419390947365,1,36.36988183240872
79,Resilience,202510896.94036108,0.0,0.0,0,30.638354939447286
80,Lowest Cost,141237116.78174755,0.0,0.0,0,39.62814688154849
80,Balanced,143640434.35939848,0.0,0.0,0,34.49703733535776
80,Resilience,146805949.9222452,0.0,0.0,0,30.682236913386873
81,Lowest Cost,166095590.3506458,0.0,0.0,0,37.99645266089462
81,Balanced,167524264.02219027,0.0,0.0,0,35.87932945007039
81,Resilience,173398898.34703994,0.0,0.0,0,30.443989994927207
82,Lowest Cost,184838263.91593271,0.028866157932972605,0.23092926346378084,1,38.72307920647201
82,Balanced,186435398.46094078,0.07948331894240863,0.5211932112694768,1,35.07917966278624
82,Resilience,190684005.9142017,0.07297043132192865,0.43740222745019,1,30.68337968062049
83,Lowest Cost,202523780.32328638,0.0,0.0,0,36.961356216195604
83,Balanced,204693789.5633102,0.0,0.0,0,35.74634608189126
83,Resilience,213579371.99979424,0.027365538031864145,0.21892430425491316,1,30.437129181153942
84,Lowest Cost,140961680.31804064,0.0,0.0,0,38.434364992571034
84,Balanced,143725167.75739363,0.0,0.0,0,33.638374048048505
84,Resilience,146865762.9495517,0.0,0.0,0,30.680721240017334
85,Lowest Cost,175086667.64467832,0.011414986434240423,0.09131989147392339,1,38.52098778151243
85,Balanced,176671089.65060237,0.022967872353071878,0.18374297882457502,1,36.14886737603075
85,Resilience,183366460.55639642,0.0275522729803582,0.2204181838428656,1,30.44142621990982
86,Lowest Cost,170756353.61374828,0.05333352804982412,0.2119218185092645,1,39.556360106147615
86,Balanced,172701926.3907655,0.12824851165202888,0.43996853672511294,1,34.335718635378115
86,Resilience,176240976.4039589,0.08135808504715929,0.3110130919858529,1,30.669614832769167
87,Lowest Cost,175836692.22193643,0.04983529172555862,0.39868233380446894,1,38.712877186582475
87,Balanced,177538718.4938752,0.04983529172555862,0.39868233380446894,1,35.87539534825434
87,Resilience,184254238.87804702,0.04474402827360212,0.35795222618881695,1,30.4417786340608
88,Lowest Cost,168281454.34253323,0.006532227079647429,0.05225781663717943,1,37.01633364457624
88,Balanced,170534541.01960263,0.0164972985216824,0.1319783881734592,1,35.76155312162395
88,Resilience,177779336.96719578,0.026395677634691833,0.21116542107753467,1,30.437921791076676
89,Lowest Cost,141988567.94118837,0.07237265419189567,0.5789812335351654,1,36.979907065604266
89,Balanced,144015555.30187085,0.01817251267569149,0.14538010140553193,1,35.739591919199576
89,Resilience,150333348.99433342,0.0,0.0,0,30.43677013024507
90,Lowest Cost,187467431.11066276,0.0,0.0,0,39.40306978314823
90,Balanced,189474256.79612988,0.034605684775921366,0.27684547820737093,1,34.99472076602869
90,Resilience,193501536.5253256,0.02265009028412672,0.18120072227301376,1,30.669594001525027
91,Lowest Cost,179392244.55436462,0.0,0.0,0,38.50828244894898
91,Balanced,181824351.7320946,0.0,0.0,0,34.69279341412397
91,Resilience,186351265.9513098,0.0,0.0,0,30.68076093705889
92,Lowest Cost,185040015.52091503,0.07052665696561514,0.47233495778610946,1,37.99329597933347
92,Balanced,186917235.89066446,0.09307188265359616,0.3806572247301384,1,35.821429949981585
92,Resilience,194150750.1856458,0.03806572247301385,0.3045257797841108,1,30.441080175451113
93,Lowest Cost,162737846.15452805,0.0605321032112761,0.4842568256902088,1,39.6740414268136
93,Balanced,165018154.86516085,0.05340452705848468,0.42723621646787746,1,34.329122364376595
93,Resilience,168395140.21157372,0.028482414431191844,0.22785931544953475,1,30.684720292744814
94,Lowest Cost,179645192.69696963,0.0,0.0,0,37.23599648474909
94,Balanced,181029971.02610308,0.0,0.0,0,35.806894210962774
94,Resilience,188201353.72985816,0.04488493488909347,0.20898688274504162,1,30.440307540895734
95,Lowest Cost,186161113.16384622,0.11225424887861087,0.4718704777604711,1,39.05869228639653
95,Balanced,187429736.34063995,0.07576326255980798,0.42381576225170636,1,35.317708306698606
95,Resilience,190854362.46304,0.05581505701547655,0.339052609801365,1,30.86308481409413
96,Lowest Cost,172329435.24305937,0.0,0.0,0,38.18475564162561
96,Balanced,174181003.44476914,0.0,0.0,0,35.86547725113279
96,Resilience,180441093.32731876,0.0,0.0,0,30.443263104178854
97,Lowest Cost,176802392.630544,0.05428210112213047,0.4342568089770438,1,38.62089973887302
97,Balanced,178906600.0025866,0.05428210112213047,0.4342568089770438,1,34.439458955476326
97,Resilience,182708219.1426305,0.029761959084859305,0.23809567267887444,1,30.68340930528395
98,Lowest Cost,154013811.22039247,0.08245173089828703,0.6596138471862962,1,38.27710362697766
98,Balanced,155827536.62103403,0.022952837784774846,0.18362270227819877,1,35.84959030174319
98,Resilience,161591246.72393966,0.054766081745278056,0.2937963236451179,1,30.4425187341085
99,Lowest Cost,178352225.42275292,0.0,0.0,0,38.36791908947579
99,Balanced,180836553.9652037,0.0,0.0,0,34.46731098787612
99,Resilience,185388600.70243576,0.0,0.0,0,30.680787489067225
100,Lowest Cost,152197479.81270978,0.0,0.0,0,37.02804092088621
100,Balanced,154141132.06002507,0.0,0.0,0,35.75737268690825
100,Resilience,160729790.86268803,0.0,0.0,0,30.437703151545215
101,Lowest Cost,202340803.83425337,0.12601706056168427,0.5280436415807268,1,36.419758978954896
101,Balanced,203915335.51412714,0.10205222433627913,0.4387456201896056,1,35.96891251022882
101,Resilience,213371361.70590028,0.047209021812578425,0.3776721745006274,1,30.434687825887448
102,Lowest Cost,167373768.4103757,0.0,0.0,0,36.82735779075819
102,Balanced,169214093.79404622,0.0,0.0,0,35.78105716566021
102,Resilience,176194966.0000558,0.0,0.0,0,30.438945985747466
103,Lowest Cost,150630348.20503742,0.05803928686746131,0.41013784208635373,1,38.42465391576454
103,Balanced,152061847.24484387,0.04709540712075891,0.3076033815647652,1,35.95131147091528
103,Resilience,157557746.31972194,0.04459231323673775,0.2460827052518122,1,30.443045542381928
104,Lowest Cost,173484582.65698326,0.0,0.0,0,38.25400380074483
104,Balanced,174797550.9571243,0.0,0.0,0,35.92129309975425
104,Resilience,181438000.80313122,0.0,0.0,0,30.441595795599603
105,Lowest Cost,143060545.64882326,0.0,0.0,0,37.267411429897166
105,Balanced,145015830.8955839,0.0,0.0,0,35.76109682695474
105,Resilience,151181166.17367437,0.0,0.0,0,30.43789667071795
106,Lowest Cost,162023045.54764706,0.02802843309306012,0.22422746474448096,1,38.93476542127712
106,Balanced,164662460.1596274,0.02802843309306012,0.22422746474448096,1,34.39273314274367
106,Resilience,168361373.46417117,0.05488982147047117,0.43911857176376934,1,30.681738667291555
107,Lowest Cost,167765707.10531193,0.0,0.0,0,39.742028455184645
107,Balanced,170023252.26176852,0.0,0.0,0,34.72226180334187
107,Resilience,173914248.88953173,0.019435214123928943,0.15548171299143154,1,30.6830907512494
108,Lowest Cost,172504717.96032718,0.0,0.0,0,39.12508921906107
108,Balanced,174328668.73529395,0.0,0.0,0,34.90024792158012
108,Resilience,178113964.37017828,0.0,0.0,0,30.685060259236035
109,Lowest Cost,155485833.63862422,0.0069132221862071574,0.05530577748965726,1,38.40006103468964
109,Balanced,156491775.65369192,0.007981980804678865,0.06385584643743092,1,36.06846787152388
109,Resilience,162052423.45030028,0.012771169287486173,0.10216935429988938,1,30.443513426703927
110,Lowest Cost,172191327.67734674,0.01111482053692886,0.08891856429543088,1,38.88210820068372
110,Balanced,174899062.27893,0.015344789328480518,0.12275831462784415,1,34.301737456065894
110,Resilience,178734870.8967055,0.03682749438835321,0.2946199551068257,1,30.681741094310603
111,Lowest Cost,181924874.96466562,0.06520719675213017,0.5191879640572912,1,38.22070353051934
111,Balanced,183490102.0572094,0.04867387163037104,0.3893909730429683,1,35.91115614568771
111,Resilience,190617452.83412045,0.038939097304296844,0.31151277843437475,1,30.440860943833943
112,Lowest Cost,154952857.09517232,0.16911713978918863,0.6930093519335165,1,39.936755842145054
112,Balanced,156894497.63181043,0.1262566737414313,0.5151075651464558,1,34.348517503858396
112,Resilience,159973861.27533707,0.08383508682159647,0.3959566598279953,1,30.66958292802225
113,Lowest Cost,201301091.34196028,0.0,0.0,0,37.22778390982436
113,Balanced,202891713.49143776,0.0,0.0,0,36.00687306322445
113,Resilience,211590419.0651362,0.0,0.0,0,30.437722904693604
114,Lowest Cost,194005880.96425265,0.022752892552272794,0.18202314041818235,1,37.537074666136576
114,Balanced,195306861.57437775,0.022752892552272794,0.18202314041818235,1,35.893819371268116
114,Resilience,202678402.081021,0.02193405855775135,0.1754724684620108,1,30.441525121532806
115,Lowest Cost,195897663.16184327,0.03456869920477687,0.20569333066091944,1,37.83456050066847
115,Balanced,198028440.785495,0.026161996821017344,0.12474574769940228,1,34.70144821604747
115,Resilience,202537884.13062784,0.024949149539880464,0.1995931963190437,1,30.682057572078538
116,Lowest Cost,153659453.15328082,0.0,0.0,0,38.22357798323745
116,Balanced,155605040.46834865,0.0,0.0,0,35.80137678461306
116,Resilience,161824776.77351058,0.0,0.0,0,30.4400170269877
117,Lowest Cost,174281709.78581777,0.0,0.0,0,38.440305094043055
117,Balanced,176130443.85473865,0.0,0.0,0,35.83111024805915
117,Resilience,182905310.55534297,0.0,0.0,0,30.440965015034383
118,Lowest Cost,211658651.7403773,0.09195639479492032,0.47862089326085644,1,38.637526039117766
118,Balanced,214122792.21017957,0.0582120287706578,0.24151720325387593,1,35.02276253669754
118,Resilience,219349153.64455345,0.024151720325387593,0.19321376260310075,1,30.798521517421467
119,Lowest Cost,152463200.13593736,0.076901989088008,0.615215912704064,1,38.26662914122399
119,Balanced,154136595.13602096,0.057676491816005995,0.46141193452804796,1,35.87537864786115
